Référence;Désignation;Fournisseur;Fabricant;Catégorie;Tarif approximatif;CONCAT;Clé_Réf;Code interne;Note;SH Code;Poids unitaire;Conditionnement;Poids;Unité poids;PCB;Poids emballage;Mode de colisage
406319;Commande Rotative Déporté DX3 avec poignée noire;COMINTER;Legrand;Accessoires de contrôle;148,19;LEG406319;406319;;;;;;;;;;
MELV429338T;ComPacT NSX Commanjde Rotative Prolongée Standard poignée noire pour NSX250;COMINTER;Schneider Electric;Accessoires de contrôle;173,79;MELV429338T;MELV429338T;;;;;;;;;;
TEXALD132;Harmony boite - 1 bouton tournant Ø22 à manette - 1F;COMINTER;Schneider Electric;Accessoires de contrôle;23,17;TEXALD132;TEXALD132;;;;;;;;;;
615250;Verrou Agrip pour câble 1.5/2.5mm;109 DISTRIBUTION;BLM;Accessoires d'éclairage;2,2;615250;615250;;;;;;;;;;
615250;Verrou Agrip pour câble 1.5/2.5mm;109 DISTRIBUTION;BLM;Accessoires d'éclairage;2,2;615250;615250;;;;;;;;;;
AC60.003;CADRE SAILLIE PANN.60x60;RAVATE ELEC;Exalum;Accessoires d'éclairage;18,5;AC60.003;AC60.003;;;;;;;;;;
ACC.103047;Télécommande RF pour TubuLEDDétecteur CLAREO SENSORACCESS 2;CLAREO;Clareo;Accessoires d'éclairage;;ACC.103047;ACC.103047;;;;;;;;;;
BLM621300;Kit 2m. filin 1.5mm embout à oeil 90°+1 verrou;COMINTER;BLM;Accessoires d'éclairage;6,4;BLM621300;BLM621300;;;;;;;;;;
KIT Y;Kit de suspension;CLAREO;Clareo;Accessoires d'éclairage;5,54;KIT Y;KIT Y;;;;;;;;;;
PHILI-740941;BALLAST BSN 100W L33A2TS 230V 50Hz;STAND 64;Philips;Accessoires d'éclairage;83,32;PHILI-740941;PHILI-740941;;;;;;;;;;
TIGESANCRAGE;Jeux de 4 tiges d'ancrage;COMINTER;;Accessoires d'éclairage;28;TIGESANCRAGE;TIGESANCRAGE;;;;;;;;;;
DEP33674A037;"Boitier type 0 classe II ivoire-4 bornes 2x16
mm²-1coupe-circuit-Ph+N";COMINTER;Depagne;Accessoires d'éclairage;26;DEP33674A037;DEP33674A037;;;85369085;;Carton;;;10;;
DEP95460101;"Parafoudre monophasé type 2 ou 3 In 5kA Imax 10kA
1 Mod.T.B";COMINTER;Depagne;Accessoires d'éclairage;26,5;DEP95460101;DEP95460101;;;85363010;;Boîte;;;10;;
ECLEXT003/41;Semelle PEPLIC type DECO pour mats 4M 5M et 6M;COMINTER;Petit Jean;Accessoires d'éclairage;53,9;ECLEXT003/41;ECLEXT003/41;;;73269098;;Sac en toile de jute;;;9;;
DEP46060A001;Jeu de 4 capuchons de protection noir et tiges M14;COMINTER;Depagne;Accessoires d'éclairage;7,32;DEP46060A001;DEP46060A001;;;;;;;;;;
DT6750;ADAPTATEUR SDS-PLUS 110;RAVATE PRO;De Walt;Accessoires électroportatif;34;DT6750;DT6750;;;;;;;;;;
B64244;BURIN AUTO-AFFUTANTE SDS PLUS;SD Fixation;;Accessoires électroportatif;14,96;B64244;B64244;;;82079099;;;;;;;
E2028;Burin large auto-affutant 400mm SDS MAX;SD Fixation;Makita;Consommables;17,55;E2028;E2028;;Tarif exceptionnel;82079099;2,5;Carton;;;2;;
MWK4932343734;BURIN PIC SDS MAX 280MM (X1) -D E V I S CLIP BROCHAB;GMR;Milwaukee;Accessoires électroportatif;7;MWK4932343734;MWK4932343734;;;82079099;;;;;;;
MWK4932343735;BURIN PIC SDS MAX 400MM (X1) - CLIP BROCHAB;GMR;Milwaukee;Accessoires électroportatif;7;MWK4932343735;MWK4932343735;;;82079099;;;;;;;
MWK4932343736;BURIN PIC SDS MAX 600MM (X1) - CLIP BROCHAB;GMR;Milwaukee;Accessoires électroportatif;12;MWK4932343736;MWK4932343736;;;82079099;;;;;;;
DT6802;BURIN PLAT SDS-PLUS DT6802;RAVATE PRO;De Walt;Accessoires électroportatif;11,82;DT6802;DT6802;;;82079099;;;;;;;
B16360;BURIN SDS MAX 25 X 400MM ECEF;SD Fixation;;Accessoires électroportatif;17,55;B16360;B16360;;;82079099;2,5;Carton;;;;;
FMA40009;BURIN SDS-MAX LG.24 L.400;Quincaillerie Angles;;Accessoires électroportatif;27,12;FMA40009;FMA40009;;;82079099;;;;;;;
DGA30309;BATTERIE M18 B5 18V 5.0AH RED LI-ION;Quincaillerie Angles;Milwaukee;Accessoires électroportatif;99;DGA30309;DGA30309;;;;;;;;;;
PIA10056;CHARGEUR M12-18FC M12-M18 MILWAUKEE;Quincaillerie Angles;Milwaukee;Accessoires électroportatif;99;PIA10056;PIA10056;;;;;;;;;;
DT8976;COFFRET 7 FORÊT BÉTON SDS PLUS;Ravate Pro;DeWalt;Accessoires électroportatif;58,65;DT8976;DT8976;;;;;;;;;;
402555;Coffret Alu 5 burins + 12 forets SDS+ Hikoki;SD Fixation;Hikoki;Accessoires électroportatif;36,8571;402555;402555;;;82079099;;;;;;;
17007;Coffret de 7 forets béton SDS Ø5-12mm;Telenco;;Accessoires électroportatif;57,76;17007;17007;;;;;;;;;;
DT9598;Foret 20x300 SDS;Ravate Pro;;Consommables;25,93;DT9598;DT9598;;;;;;;;;;
227054039;FORET R FORCE3+ D.25X450X400;COREDIME;Spit;Accessoires électroportatif;62,7429;227054039;227054039;;;;;;;;;;
23720;Coup de poing à accrochage non lumineux Osmoz complet IP69 Ø40;GMR;Legrand;Alarme Incendie;24,52;LEG23720;23720;;;;;;;;;;
23792;Voyant lumineux Osmoz complet IP69 vert - 230V~;GMR;Legrand;Alarme Incendie;22,67;LEG23792;23792;;;;;;;;;;
24212;Arrêt d urgence coup de point 1/4 tours app;COMINTER;Legrand;Alarme Incendie;34,1;LEG24212;24212;;;;;;;;;;
38050;Coffret coupure enseigne lumineuse inter pompier 2P 26A 250V;GMR;Legrand;Alarme Incendie;85,67;LEG38050;38050;;;;;;;;;;
38096;COFFRET A MANETTE SIGNAL.230V;RAVATE ELEC;Legrand;Alarme Incendie;233,38;LEG38096;38096;;;;;;;;;;
40580;#DIFFUSEUR SONORE CLA.B IP3;RAVATE ELEC;Legrand;Alarme Incendie;40;LEG40580;40580;;;;;;;;;;
40581;Dispositif sonore d'alarme feu Mosaic - saillie - avec flash - classe B;GMR;Legrand;Alarme Incendie;94,5;LEG40581;40581;;;;;;;;;;
40596;Alarme sonore et lumineuse;COREDIME;Legrand;Alarme Incendie;73;LEG40596;40596;;;;;;;;;;
138012;Déclencheur Manuel DM conventionnel standard;GMR;Legrand;Alarme Incendie;32,48;LEG138012;138012;;;;;;;;;;
138023;Dispositif de commande manuelle pour issue de secours DCMIS standard;RAVATE ELEC;Legrand;Alarme incendie;41,48;LEG138023;138023;;;;;;;;;;
138095;Kit étanchéité pour rendre les déclencheurs manuels DM IP65;COREDIME;Legrand;Alarme incendie;22;LEG138095;138095;;;;;;;;;;
140562;#TABLEAU D ALARME TYPE 4 SECTE;RAVATE ELEC;Legrand;Alarme incendie;237,57;LEG140562;140562;;;;;;;;;;
346005;Centrale type 4;COREDIME;Legrand;Alarme Incendie;276;LEG346005;346005;;;;;;;;;;
023720;Coup de poing à accrochage non lumineux Osmoz complet IP69 Ø40;GMR;Legrand;Alarme Incendie;24,52;LEG023720;023720;;;;;;;;;;
023792;Voyant lumineux Osmoz complet IP69 vert - 230V~;GMR;Legrand;Alarme Incendie;22,67;LEG023792;023792;;;;;;;;;;
024212;Arrêt d urgence coup de point 1/4 tours app;COMINTER;Legrand;Alarme Incendie;34,1;LEG024212;024212;;;;;;;;;;
038050;Coffret coupure enseigne lumineuse inter pompier 2P 26A 250V;GMR;Legrand;Alarme Incendie;85,67;LEG038050;038050;;;;;;;;;;
038096;COFFRET A MANETTE SIGNAL.230V;RAVATE ELEC;Legrand;Alarme Incendie;233,38;LEG038096;038096;;;;;;;;;;
040580;#DIFFUSEUR SONORE CLA.B IP3;RAVATE ELEC;Legrand;Alarme Incendie;40;LEG040580;040580;;;;;;;;;;
040581;Dispositif sonore d'alarme feu Mosaic - saillie - avec flash - classe B;GMR;Legrand;Alarme Incendie;94,5;LEG040581;040581;;;;;;;;;;
040584;Dispositif sonore d'alarme feu DSAF - IP65 IK07 classe B 90dB à 2m - fixation saillie;COREDIME;Legrand;Alarme incendie;57;LEG040584;040584;;;;;;;;;;
040596;Alarme sonore et lumineuse;COREDIME;Legrand;Alarme Incendie;73;LEG040596;040596;;;;;;;;;;
040598;Dispositif visuel alarme feu;RAVATE ELEC;Legrand;Alarme Incendie;118;LEG040598;040598;;;;;;;;;;
138012;Déclencheur Manuel DM conventionnel standard;GMR;Legrand;Alarme Incendie;32,48;LEG138012;138012;;;;;;;;;;
138023;Dispositif de commande manuelle pour issue de secours DCMIS standard;RAVATE ELEC;Legrand;Alarme incendie;41,48;LEG138023;138023;;;;;;;;;;
140562;#TABLEAU D ALARME TYPE 4 SECTE;RAVATE ELEC;Legrand;Alarme incendie;237,57;LEG140562;140562;;;;;;;;;;
ACC0073-002;Module 8 entrées Tasmpan-ME8;COREDIME;Finsecur;Alarme Incendie;81,1;ACC0073-002;ACC0073-002;;;;;;;;;;
ASL0015-FIN02;FINSECUR DVAF R SEXTANT : Diffuseur visuel, 9V à 60V;ATECH;Finsecur;Alarme Incendie;89,31;ASL0015-FIN02;ASL0015-FIN02;;;;;;;;;;
BBG0010-FIN01;Déclencheur manuel;Integral Système;Finsecur;Alarme Incendie;14,9;BBG0010-FIN01;BBG0010-FIN01;;;;;;;;;;
CORAIL 48.4;Alimentation Eléctrique de Secours 48V 4A, Avec batterie 12AH;Topbis;Finsecur;Alarme Incendie;1967,28;CORAIL 48.4;CORAIL 48.4;;;;;;;;;;
CORAIL24.2CP;CORAIL 24.2 CP - 7,2 ALI0002-FIN01-FINSECUR AES-24/2;ATECH;Finsecur;Alarme Incendie;767,05;CORAIL24.2CP;CORAIL24.2CP;;;;;;;;;;
CP NEMO + PLOMBACCDM211;FINSECUR CP NEMO + PLOMB : Lot de 5 volets de protection pour DM NEMO + Plombs;ATECH;Finsecur;Alarme Incendie;14,69;CP NEMO + PLOMBACCDM211;CP NEMO + PLOMBACCDM211;;;;;;;;;;
CT440.8810;Ceinture pour montage en saillie de la CENTRALE REFUGE;CADistribution;Castel;Alarme Incendie;116;CT440.8810;CT440.8810;;;;;;;;;;
CT440.8952;Pack REFUGE EAS 2;CADistribution;Castel;Alarme Incendie;1420;CT440.8952;CT440.8952;;;;;;;;;;
DMS1100;DECLENCHEUR MANUEL ROUGE SIMPLE ACTION;109 Distribution;Zemper;Alarme Incendie;21;DMS1100;DMS1100;;;;;;;;;;
DSAF SEXT;ADiffuseur sonore 90Db, 9V à 60V;Topbis;Finsecur;Alarme Incendie;98,67;DSAF SEXT;DSAF SEXT;;;;;;;;;;
DSL1701;DIFFUSEUR SONORE SON;109 Distribution;Zemper;Alarme Incendie;53;DSL1701;DSL1701;;;;;;;;;;
DSL1709;DIFFUSEUR SONORE FLASH ROUGE;109 Distribution;Zemper;Alarme Incendie;118;DSL1709;DSL1709;;;;;;;;;;
DVAF SEXT;ADiffuseur visuel. 9V à 60V. Puissance sonore : 90db. Flash blanc ou rouge;Topbis;Finsecur;Alarme Incendie;145,93;DVAF SEXT;DVAF SEXT;;;;;;;;;;
E-I2P;Module d'inversion de polarité et de puissance sur KARA 8UP et BALTIC 512;Topbis;Finsecur;Alarme Incendie;274,52;E-I2P;E-I2P;;;;;;;;;;
FINATE0007-FIN01;Alarme technique Tasman-LCD;COREDIME;Finsecur;Alarme Incendie;250,3;FINATE0007-FIN01;FINATE0007-FIN01;;;;;;;;;;
IROISE 4-1+BAAT4717-1;FINSECUR IROISE 4-1+ : Tableau d'alarme incendie type 4;ATECH;Finsecur;Alarme Incendie;189,84;IROISE 4-1+BAAT4717-1;IROISE 4-1+BAAT4717-1;;;;;;;;;;
IROISE 4-3+;Tableau d'alarme incendie de type 4. Alimentation secteur 220V. 1 ligne sirèn;Topbis;Finsecur;Alarme Incendie;614,39;IROISE 4-3+;IROISE 4-3+;;;;;;;;;;
LEG023720;Coup de poing à accrochage non lumineux Osmoz complet IP69 Ø40;GMR;Legrand;Alarme Incendie;24,52;LEGLEG023720;LEG023720;;;;;;;;;;
